price_lag,garage_spaces,total_livable_area,med_hh_inc,number_of_rooms,number_of_bathrooms,depth,off_street_open,fireplaces,interior_condition,number_stories,pct_white,number_of_bedrooms,exterior_condition,dist_to_commerce,year_built,tot_pop,total_area,sale_price,musa_id,hood_price_class_expensive,hood_price_class_least_expensive,hood_price_class_less_expensive,hood_price_class_more_expensive,hood_price_class_most_expensive,building_type_price_class_expensive,building_type_price_class_least_expensive,building_type_price_class_less_expensive,building_type_price_class_more_expensive,building_type_price_class_most_expensive,quality_grade_high,quality_grade_lowest,quality_grade_mid,to_predict
226466.6666666667,0,1300,23393,8,3,75,1768,0,3,2,0.5657106838953672,5,3,665.9148116200093,1925,3173,1125,249000,1,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
190026.6666666667,0,1160,23393,4,1,57,1021,0,4,2,0.5657106838953672,3,4,35.19518154981591,1915,3173,827,118000,2,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
291220.5333333334,0,748,79688,3,1,58,1335,0,4,2,0.9189655172413793,2,4,321.1688722610138,1875,2320,756,146000,3,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
352599.99999999994,0,1154,77979,3,1,56,689,0,3,2,0.6123106670963584,2,3,531.8711338471828,1875,6206,784,269900,4,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
280260,0,1031,75682,4,1,50,1627,0,4,2,0.8948041975940619,3,4,143.3466208556813,1920,3907,700,165000,5,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
150933.33333333334,1,1200,45104,4,1,65,3794,0,4,2,0.3398773006134969,3,4,694.3912235293669,1925,8150,975,185000,6,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
159222.66659544158,0,1168,39702,4,1,89,1955,0,4,2,0.018518518518518517,3,3,123.34301966496251,1925,6210,1328,205000,7,0,0,1,0,0,0,1,0,0,0,0,0,1,MODELLING
293246.6666666667,0,840,57250,4,1,44,556,0,4,2,0.2817425569176883,3,5,505.96663390698325,1920,4568,616,120000,8,1,0,0,0,0,0,0,1,0,0,0,0,1,MODELLING
156446.93333333335,1,1090,82866,4,1,70,2350,0,4,2,0.22792869269949068,3,4,1285.2432991016854,1940,4712,1038,189900,9,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
208493.26666666663,0,1120,63403,1,1,106,2188,0,4,2,0.09002476123098692,3,4,500.2187984031871,1949,5654,1701,237000,10,0,0,1,0,0,0,0,1,0,0,0,0,1,MODELLING
